;labels-md4_mw50_RW;entities-md4_mw50_RW;embeddings-md4_mw50_RW
604;road;http://www.wikidata.org/entity/Q1965933;[-0.16371576488018036, 0.34324532747268677, 0.1072942316532135, 0.14088785648345947, 0.06252208352088928, -0.44032979011535645, 0.0018387007294222713, 0.7543606162071228, -0.24733830988407135, -0.3902716636657715, 0.01580330915749073, -0.3258364796638489, -0.2971642017364502, 0.07165129482746124, 0.24077147245407104, -0.0432853065431118, 0.18447239696979523, 0.21310335397720337, -0.43619850277900696, -0.36320731043815613, 0.32859036326408386, -0.05776384100317955, 0.44285818934440613, -0.17855679988861084, -0.031058261170983315, 0.2111060917377472, -0.2633352279663086, 0.1502869874238968, -0.07775764912366867, -0.028590301051735878, 0.4307771325111389, -0.2698373794555664, -0.03671262785792351, -0.6649534702301025, -0.04586907848715782, 0.20688126981258392, 0.30215632915496826, -0.12964919209480286, -0.26968806982040405, 0.03782518953084946, 0.18821951746940613, -0.08582384884357452, -0.3882726728916168, -0.005463483277708292, 0.07417801022529602, -0.11693413555622101, -0.25963282585144043, -0.17328590154647827, 0.054333243519067764, 0.26561081409454346, -0.17700117826461792, -0.44248953461647034, -0.30615174770355225, -0.017829274758696556, -0.2418644279241562, 0.1958492547273636, 0.18022429943084717, -0.12346455454826355, 0.047531962394714355, 0.14476245641708374, 0.17329691350460052, -0.03678744658827782, 0.20306815207004547, 0.028562333434820175, 0.05460335314273834, 0.46686890721321106, 0.45164546370506287, 0.12174558639526367, -0.001631405670195818, 0.19853165745735168, -0.0017584062879905105, 0.23155692219734192, 0.359469473361969, -0.048884060233831406, 0.14419172704219818, 0.07722552120685577, -0.08596082031726837, 0.05019306391477585, -0.0026305916253477335, -0.08130058646202087, -0.2813301682472229, 0.016709692776203156, -0.14264541864395142, 0.19583240151405334, -0.26643770933151245, -0.002337847603484988, 0.18373750150203705, 0.03757619112730026, 0.21528670191764832, 0.0068274508230388165, 0.13897915184497833, 0.3956969380378723, 0.15351706743240356, -0.029575789347290993, 0.619869589805603, 0.10979079455137253, 0.15513792634010315, -0.2521723508834839, -0.11846929043531418, 0.16543632745742798]
605;folk ignore beggars;http://www.wikidata.org/entity/Q633546;[-0.08481500297784805, 0.2931321859359741, 0.13352155685424805, 0.08941102772951126, 0.03034551441669464, -0.4307042360305786, -0.15242135524749756, 0.6887745261192322, -0.2208758145570755, -0.28275883197784424, -0.04896564036607742, -0.32663917541503906, -0.3348483741283417, 0.09369982033967972, 0.18042850494384766, -0.0242911409586668, 0.21687865257263184, 0.23760166764259338, -0.3496263921260834, -0.36946138739585876, 0.299154669046402, -0.013738008216023445, 0.33258795738220215, -0.25084736943244934, 0.022180529311299324, 0.21379640698432922, -0.33437174558639526, 0.12083404511213303, -0.11661524325609207, -0.024380242452025414, 0.3892425298690796, -0.18300144374370575, -0.07992293685674667, -0.6966410279273987, -0.061177801340818405, 0.04603029042482376, 0.2661295235157013, -0.08731857687234879, -0.2103135883808136, 0.055350806564092636, 0.15938608348369598, -0.08797990530729294, -0.33166706562042236, -0.015251332893967628, 0.0261214729398489, -0.1597341150045395, -0.26683753728866577, -0.13444216549396515, 0.06805449724197388, 0.2719793915748596, -0.2042277753353119, -0.4028611183166504, -0.28283849358558655, 0.07001104950904846, -0.16568604111671448, 0.17753781378269196, 0.14596377313137054, -0.11596272140741348, 0.02679716981947422, 0.22234998643398285, 0.23204536736011505, -0.03404271975159645, 0.07370004802942276, 0.1345362663269043, 0.06875783950090408, 0.4692113399505615, 0.4340914487838745, 0.023393044248223305, -0.007330939173698425, 0.2583227753639221, -0.03215191885828972, 0.21933159232139587, 0.3073073625564575, -0.15933319926261902, 0.14709898829460144, 0.08617846667766571, -0.0395621657371521, 0.04087775945663452, 0.03663218021392822, -0.11119021475315094, -0.2604690194129944, -0.0006510178209282458, -0.18274268507957458, 0.19763679802417755, -0.2890635132789612, 0.026900891214609146, 0.08690442889928818, 0.0744217112660408, 0.20292618870735168, 0.07362697273492813, 0.15674583613872528, 0.29800650477409363, 0.18093566596508026, -0.06302478164434433, 0.49228814244270325, 0.07880685478448868, 0.052286967635154724, -0.19708485901355743, -0.11559908837080002, 0.25383320450782776]
606;Ethiopia;http://www.wikidata.org/entity/Q240673;[-0.14604562520980835, 0.3442515730857849, 0.13370177149772644, 0.1156758964061737, 0.03870808705687523, -0.4524783492088318, -0.09409765899181366, 0.6249070167541504, -0.17985177040100098, -0.3185980021953583, -0.0067126029171049595, -0.33305472135543823, -0.2890261113643646, 0.09266222268342972, 0.21010401844978333, -0.04193207249045372, 0.11861250549554825, 0.23426401615142822, -0.3433268964290619, -0.36205360293388367, 0.29631486535072327, -0.00636151572689414, 0.3399178385734558, -0.24421612918376923, 0.04327483847737312, 0.1713208705186844, -0.24954867362976074, 0.11628483235836029, -0.11371255666017532, -0.0598924458026886, 0.3330371677875519, -0.22540125250816345, -0.004810091573745012, -0.5827990174293518, -0.06982216238975525, 0.07074665278196335, 0.2980014681816101, -0.03592221438884735, -0.16142307221889496, 0.0716138556599617, 0.08515781909227371, -0.08091828227043152, -0.3933617174625397, -0.04743644967675209, -0.015059882774949074, -0.16270479559898376, -0.22429855167865753, -0.13115699589252472, 0.044978369027376175, 0.31779229640960693, -0.1643269956111908, -0.34831491112709045, -0.2968358099460602, 0.04463599994778633, -0.13346770405769348, 0.14895199239253998, 0.20805278420448303, -0.1386633813381195, 0.004952841438353062, 0.2336282730102539, 0.11831992864608765, -0.008160586468875408, 0.035794325172901154, 0.058135129511356354, 0.0021222371142357588, 0.44774556159973145, 0.4522767961025238, 0.03761488199234009, 0.03184889256954193, 0.3250391185283661, -0.041506387293338776, 0.2256135195493698, 0.2967420220375061, -0.1367703527212143, 0.10228139162063599, 0.08417768776416779, -0.04378511384129524, -0.005079410970211029, 0.0037105761002749205, -0.12326742708683014, -0.24431681632995605, 0.011360026895999908, -0.13108965754508972, 0.20234322547912598, -0.2301449030637741, 0.0641624927520752, 0.024405375123023987, -0.015785114839673042, 0.2151181995868683, 0.05973101407289505, 0.1171543151140213, 0.2915874123573303, 0.17934603989124298, -0.11547660082578659, 0.4799262583255768, 0.08927406370639801, 0.06762386858463287, -0.14814242720603943, -0.11907229572534561, 0.21463662385940552]
607;Problem doesn;http://www.wikidata.org/entity/Q340412;[-0.1035686731338501, 0.2389581948518753, 0.11474831402301788, 0.1720721423625946, 0.02790009044110775, -0.44433358311653137, -0.1033841073513031, 0.5359960198402405, -0.18869316577911377, -0.2853482961654663, -0.00031763757579028606, -0.38638898730278015, -0.2466186285018921, 0.1701717972755432, 0.1685430407524109, 0.030862925574183464, 0.09022115916013718, 0.31578049063682556, -0.23663055896759033, -0.38695260882377625, 0.33052656054496765, 0.02340671978890896, 0.22832123935222626, -0.2658880949020386, 0.17061114311218262, 0.18590566515922546, -0.26581430435180664, 0.06908693164587021, -0.07702366262674332, -0.10749097168445587, 0.2692362070083618, -0.19029386341571808, 0.006644558161497116, -0.4927268624305725, -0.1063714325428009, -0.042982280254364014, 0.2390139102935791, 0.00461043044924736, -0.09028389304876328, -0.0048327068798244, 0.04293994978070259, -0.09834704548120499, -0.3645583987236023, -0.0076193599961698055, -0.03373552858829498, -0.1569543033838272, -0.2679360806941986, -0.14570418000221252, 0.10796432942152023, 0.33060523867607117, -0.15211577713489532, -0.32305237650871277, -0.315532386302948, 0.055802296847105026, -0.10431604832410812, 0.18524204194545746, 0.1763484925031662, -0.12549687922000885, 0.03324585035443306, 0.3093268871307373, 0.09572672843933105, 0.06280390918254852, -0.05362543836236, 0.09755455702543259, 0.01576925814151764, 0.47129449248313904, 0.3647226095199585, 0.019015317782759666, 0.03840851038694382, 0.4045988619327545, -0.029554076492786407, 0.26047971844673157, 0.3108682334423065, -0.24733544886112213, 0.09011894464492798, 0.04385341703891754, 0.07778126001358032, -0.0715421512722969, 0.01843596249818802, -0.1352313905954361, -0.2725706994533539, -0.003393398365005851, -0.14583507180213928, 0.2016582190990448, -0.21240349113941193, 0.06497553735971451, -0.007609220687299967, -0.07391265779733658, 0.2566370964050293, 0.05553356930613518, 0.05383678898215294, 0.25004154443740845, 0.2032753825187683, -0.086476631462574, 0.4271497428417206, 0.09506955742835999, 0.08296765387058258, -0.08918670564889908, -0.035728517919778824, 0.2659706771373749]
608;Beggars on the street, don;http://www.wikidata.org/entity/Q3769186;[-0.13552609086036682, 0.33301007747650146, 0.12058638781309128, 0.11831014603376389, 0.01305314339697361, -0.42755961418151855, -0.05283397436141968, 0.6514461040496826, -0.2311980128288269, -0.32125556468963623, -0.006740141659975052, -0.3562339246273041, -0.31453394889831543, 0.10696461796760559, 0.15001697838306427, -0.030375517904758453, 0.1325874626636505, 0.24091073870658875, -0.37637388706207275, -0.39062511920928955, 0.2931452691555023, -0.01563490927219391, 0.3637784719467163, -0.21846866607666016, 0.018571875989437103, 0.16161133348941803, -0.2711344063282013, 0.08236957341432571, -0.0967012420296669, -0.053259994834661484, 0.39498278498649597, -0.22204303741455078, -0.004987872205674648, -0.5977329015731812, -0.09342660754919052, 0.12046990543603897, 0.26059746742248535, -0.0688278004527092, -0.19397617876529694, -0.023590799421072006, 0.1329217404127121, -0.10734265297651291, -0.3968396782875061, -0.06163320317864418, 0.02151971310377121, -0.13016651570796967, -0.2678260803222656, -0.17322847247123718, 0.03948332369327545, 0.30987054109573364, -0.174409881234169, -0.3894236087799072, -0.2939954400062561, 0.04141363129019737, -0.16354669630527496, 0.14163769781589508, 0.21835482120513916, -0.20060807466506958, -0.024406561627984047, 0.16594628989696503, 0.13102135062217712, -0.033520136028528214, 0.08726465702056885, 0.04136965423822403, 0.007068597245961428, 0.446960985660553, 0.42080140113830566, 0.02130243554711342, 0.03664860129356384, 0.29400238394737244, -0.0628218948841095, 0.25841087102890015, 0.3211795389652252, -0.09895209223031998, 0.11972950398921967, 0.07487060129642487, -0.045071572065353394, -0.005120165180414915, 0.021571824327111244, -0.0862593874335289, -0.23774130642414093, -0.0204713586717844, -0.13293810188770294, 0.1656084954738617, -0.2502357065677643, 0.04080690070986748, 0.06634645909070969, -0.01712251454591751, 0.18839751183986664, 0.07682258635759354, 0.1419152021408081, 0.33097490668296814, 0.16289962828159332, -0.08656253665685654, 0.5079605579376221, 0.12318549305200577, 0.07704544067382812, -0.17810827493667603, -0.11808443814516068, 0.21303993463516235]
609;Free;http://www.wikidata.org/entity/Q3274379;[-0.07326076179742813, 0.23523807525634766, 0.02117738127708435, 0.32988932728767395, 0.13683824241161346, -0.3762977123260498, 0.001292880275286734, 0.6576534509658813, -0.40231332182884216, -0.4079105257987976, -0.0030838276725262403, -0.5075824856758118, -0.20357471704483032, 0.1536559760570526, 0.33553385734558105, -0.2178839147090912, 0.27491745352745056, 0.12627066671848297, -0.34230369329452515, -0.46906429529190063, 0.3954172730445862, 0.0018814844079315662, 0.4583457112312317, -0.2570721507072449, -0.01240587793290615, 0.2462993562221527, -0.47279590368270874, 0.2696104943752289, -0.1265576034784317, -0.02917165495455265, 0.4095434844493866, -0.2657366394996643, 0.02404785342514515, -0.6658146381378174, -0.03760185092687607, 0.0895819142460823, 0.16012850403785706, -0.060294561088085175, -0.22643114626407623, -0.06973299384117126, 0.1533469408750534, -0.08626516163349152, -0.37403976917266846, 0.19149774312973022, 0.03755545616149902, -0.06281860917806625, -0.36392900347709656, -0.10186731815338135, 0.10338573902845383, 0.2129978984594345, -0.3087199628353119, -0.45289045572280884, -0.25579097867012024, -0.08150352537631989, -0.2169642597436905, 0.28042539954185486, 0.10794910043478012, -0.02089269459247589, 0.2014041244983673, 0.13451647758483887, 0.20245036482810974, -0.11661738157272339, 0.30696210265159607, 0.17961247265338898, 0.003446329850703478, 0.4855147898197174, 0.20052869617938995, 0.23620878159999847, -0.1674627959728241, 0.22145208716392517, 0.012377186678349972, 0.2987985908985138, 0.4630458354949951, -0.10075508058071136, 0.08882851153612137, 0.06812123954296112, -0.12984368205070496, 0.028449615463614464, -0.024138879030942917, -0.24527277052402496, -0.3740963339805603, -0.09116332978010178, -0.31602805852890015, 0.17770224809646606, -0.1762152761220932, -0.010765342973172665, 0.21979178488254547, 0.02920025773346424, 0.4580427408218384, -0.06710904091596603, 0.16447247564792633, 0.43600285053253174, -0.002397240838035941, 0.16334028542041779, 0.7151039242744446, 0.21396875381469727, 0.029659247025847435, -0.09719673544168472, -0.09385669231414795, 0.11911828815937042]
610;age of majority;http://www.wikidata.org/entity/Q18000;[-0.11425530165433884, 0.3106858432292938, 0.16715523600578308, 0.1572599858045578, 0.0371844619512558, -0.45410072803497314, -0.16356483101844788, 0.6341172456741333, -0.2062762975692749, -0.3057911992073059, -0.020543601363897324, -0.3923482298851013, -0.2837323248386383, 0.12542644143104553, 0.21139906346797943, -0.0451287142932415, 0.1528407484292984, 0.2550804913043976, -0.3259342312812805, -0.3957417607307434, 0.33505499362945557, 0.04569254815578461, 0.2901298403739929, -0.2810589373111725, 0.1013651192188263, 0.22938500344753265, -0.2989633083343506, 0.1008286401629448, -0.11109301447868347, -0.06381737440824509, 0.29935070872306824, -0.20233091711997986, -0.03441616892814636, -0.6205557584762573, -0.08639626204967499, 0.04312530905008316, 0.28969284892082214, -0.05205279216170311, -0.1594918668270111, 0.0651349425315857, 0.08825069665908813, -0.08355370908975601, -0.3969738483428955, 0.005526823922991753, -0.021848268806934357, -0.14010807871818542, -0.2893340289592743, -0.1308867484331131, 0.06924832612276077, 0.34291979670524597, -0.21445980668067932, -0.3723228871822357, -0.3209514915943146, 0.0720948800444603, -0.10342378914356232, 0.18876175582408905, 0.20055624842643738, -0.14117661118507385, 0.007332609035074711, 0.3142613172531128, 0.14854976534843445, 0.007919141091406345, -0.020743070170283318, 0.1103016659617424, 0.06244422122836113, 0.46377867460250854, 0.4005737602710724, 0.031259458512067795, 0.05924476310610771, 0.36299389600753784, -0.02331477776169777, 0.20802263915538788, 0.32322967052459717, -0.2059265375137329, 0.1036800891160965, 0.08470938354730606, 0.021294280886650085, -0.03403210639953613, 0.028538210317492485, -0.12077759206295013, -0.2676483392715454, -0.0042826030403375626, -0.20521344244480133, 0.18806199729442596, -0.2790278196334839, 0.09288179129362106, -0.013550209812819958, -0.02774183265864849, 0.2658838927745819, 0.0749862790107727, 0.13241475820541382, 0.30654749274253845, 0.17752422392368317, -0.06869574636220932, 0.4729725122451782, 0.11847539991140366, 0.01553310826420784, -0.11322096735239029, -0.13056312501430511, 0.24174194037914276]
611;judgement;http://www.wikidata.org/entity/Q273283;[-0.141312837600708, 0.29894116520881653, 0.15527187287807465, 0.11658457666635513, 0.02153060771524906, -0.43895137310028076, -0.07835493236780167, 0.6560708284378052, -0.20595665276050568, -0.3406038284301758, -0.04369088262319565, -0.3361895680427551, -0.3213941752910614, 0.10624381899833679, 0.15206065773963928, -0.032796576619148254, 0.12337228655815125, 0.26888489723205566, -0.3540639579296112, -0.39691129326820374, 0.2911011576652527, -0.024898739531636238, 0.31714707612991333, -0.22284024953842163, 0.03067643567919731, 0.1949089765548706, -0.23277324438095093, 0.13213421404361725, -0.07139326632022858, -0.007877190597355366, 0.3493883013725281, -0.2372359186410904, -0.0399288646876812, -0.6590366363525391, -0.08962207287549973, 0.09394579380750656, 0.2946411669254303, -0.04875238984823227, -0.16523435711860657, 0.03251129388809204, 0.10878977179527283, -0.09704092890024185, -0.40686988830566406, -0.03129022568464279, 0.018462270498275757, -0.19177059829235077, -0.26864662766456604, -0.14783677458763123, 0.11492577195167542, 0.29009461402893066, -0.17767149209976196, -0.40794020891189575, -0.29851290583610535, 0.0125847477465868, -0.18465182185173035, 0.17119288444519043, 0.20724079012870789, -0.1625690907239914, 0.017223183065652847, 0.22059546411037445, 0.13916367292404175, -0.03413265570998192, 0.08713021129369736, 0.02114267647266388, 0.03308921307325363, 0.4910326898097992, 0.44701212644577026, 0.07055222988128662, 0.033336084336042404, 0.29950276017189026, -0.03230540081858635, 0.2724071443080902, 0.32877039909362793, -0.12746740877628326, 0.13704536855220795, 0.10111625492572784, -0.025203300639986992, -0.0007437789463438094, 0.05762691795825958, -0.12401291728019714, -0.276924192905426, -0.003947200253605843, -0.1277828961610794, 0.1868577003479004, -0.25153064727783203, 0.022342724725604057, 0.05832831561565399, -0.0207959096878767, 0.18569837510585785, 0.0712207481265068, 0.13243578374385834, 0.3501133620738983, 0.1883404552936554, -0.08706777542829514, 0.5208693146705627, 0.06495536863803864, 0.09395098686218262, -0.16431602835655212, -0.07733138650655746, 0.2494395524263382]
612;Folk;http://www.wikidata.org/entity/Q3233816;[-0.20737908780574799, 0.4062020480632782, 0.12040844559669495, 0.21813040971755981, 0.0450054295361042, -0.5427896976470947, -0.03547671064734459, 0.7802338600158691, -0.32045692205429077, -0.4347486197948456, 0.01355874352157116, -0.47506245970726013, -0.36203017830848694, 0.14088967442512512, 0.2449609637260437, -0.08447915315628052, 0.15667366981506348, 0.2640349268913269, -0.4403991997241974, -0.4829942584037781, 0.384684681892395, 0.01485548447817564, 0.46218839287757874, -0.2612895667552948, 0.06114596128463745, 0.2411026507616043, -0.3232909142971039, 0.14394766092300415, -0.14485032856464386, -0.04615152254700661, 0.41887953877449036, -0.30802586674690247, 0.029526270925998688, -0.7177035808563232, -0.1080033928155899, 0.1841692477464676, 0.3115077614784241, -0.05333421006798744, -0.23460747301578522, -0.028944842517375946, 0.12506379187107086, -0.13335083425045013, -0.5331048369407654, 0.021291576325893402, 0.006600485648959875, -0.1406124383211136, -0.32836565375328064, -0.17191196978092194, 0.0810149684548378, 0.3768478333950043, -0.25406980514526367, -0.4716982841491699, -0.35431981086730957, 0.008238532580435276, -0.2066635638475418, 0.22088922560214996, 0.26529812812805176, -0.17738457024097443, 0.051543690264225006, 0.23721981048583984, 0.15444928407669067, -0.04862789437174797, 0.14792916178703308, 0.05227305367588997, 0.023140715435147285, 0.570196807384491, 0.49053990840911865, 0.10362572968006134, 0.03476014360785484, 0.3849761188030243, -0.0309013482183218, 0.33282187581062317, 0.4245843291282654, -0.1421196162700653, 0.11170759052038193, 0.12496102601289749, -0.07335487753152847, -0.025674114003777504, 0.011749844066798687, -0.16465294361114502, -0.33708086609840393, -0.04148171842098236, -0.1776725947856903, 0.19520068168640137, -0.2952195405960083, 0.06488067656755447, 0.11685895919799805, -0.04368729144334793, 0.33223414421081543, 0.015592224895954132, 0.17801523208618164, 0.46069422364234924, 0.13343587517738342, -0.032567862421274185, 0.6835059523582458, 0.15611927211284637, 0.09340067952871323, -0.16320766508579254, -0.12960536777973175, 0.20246069133281708]
613;food;http://www.wikidata.org/entity/Q214609;[-0.07663050293922424, 0.31653741002082825, 0.14376486837863922, 0.09214673191308975, 0.04953427240252495, -0.45497962832450867, -0.042380474507808685, 0.6808035373687744, -0.203087717294693, -0.29219844937324524, -0.03391221910715103, -0.28444012999534607, -0.33036479353904724, 0.0839700847864151, 0.12242302298545837, 0.0003904621407855302, 0.13131371140480042, 0.27622830867767334, -0.36887484788894653, -0.3893129229545593, 0.3096790015697479, -0.016263822093605995, 0.3416185677051544, -0.2477455884218216, -0.0031838708091527224, 0.1731337010860443, -0.2870129644870758, 0.08369582891464233, -0.08172186464071274, -0.07185782492160797, 0.3885785937309265, -0.23749297857284546, -0.03962238132953644, -0.5993703007698059, -0.08548952639102936, 0.09873086214065552, 0.3018170893192291, -0.08891376107931137, -0.2108767181634903, -0.014651229605078697, 0.12541168928146362, -0.0772346705198288, -0.3478161096572876, -0.10370791703462601, 0.007631305139511824, -0.15407626330852509, -0.24961982667446136, -0.229082390666008, 0.034396544098854065, 0.31009989976882935, -0.14733965694904327, -0.42939892411231995, -0.30839645862579346, 0.055524323135614395, -0.187766432762146, 0.08619563281536102, 0.198388010263443, -0.24244773387908936, -0.03617172688245773, 0.17021003365516663, 0.11842411756515503, -0.020322278141975403, 0.10869667679071426, 0.028319990262389183, 0.02228073962032795, 0.457638680934906, 0.46490439772605896, 4.548193101072684e-05, 0.012143966741859913, 0.26564091444015503, -0.06276989728212357, 0.24299773573875427, 0.29034164547920227, -0.10750635713338852, 0.14538788795471191, 0.03574952483177185, -0.07288271933794022, 0.021067505702376366, 0.03617881238460541, -0.0602741502225399, -0.20987220108509064, -0.037091270089149475, -0.13996735215187073, 0.1900290995836258, -0.24835145473480225, 0.034101858735084534, 0.08080065995454788, -0.021312743425369263, 0.09899598360061646, 0.11723129451274872, 0.08821336925029755, 0.3017575740814209, 0.2340262234210968, -0.1254097819328308, 0.5227969288825989, 0.08293668180704117, 0.08123907446861267, -0.19401861727237701, -0.13012172281742096, 0.24319998919963837]
614;base material;http://www.wikidata.org/entity/Q65044042;[-0.06619706004858017, 0.37215864658355713, 0.07043282687664032, 0.09563159197568893, 0.1311679184436798, -0.44820401072502136, -0.06949552148580551, 0.7811735272407532, -0.24165664613246918, -0.2744033932685852, -0.04394448921084404, -0.24261394143104553, -0.36400559544563293, 0.07619640976190567, 0.16112233698368073, -0.03901278227567673, 0.14879664778709412, 0.2847517728805542, -0.3970767557621002, -0.35097968578338623, 0.35366976261138916, -0.11053260415792465, 0.4077993333339691, -0.1862436681985855, -0.01622714288532734, 0.17011283338069916, -0.2865832448005676, 0.1735481321811676, -0.10191711038351059, -0.08280061930418015, 0.4661201536655426, -0.24342869222164154, -0.045731958001852036, -0.6032700538635254, -0.04392843320965767, 0.10821913927793503, 0.32721254229545593, -0.10701965540647507, -0.26382315158843994, 0.027934467419981956, 0.12645287811756134, -0.07071863859891891, -0.3564387559890747, -0.05876725912094116, 0.02833288162946701, -0.20230412483215332, -0.20167647302150726, -0.2484733760356903, 0.05024638772010803, 0.2801494598388672, -0.1303374469280243, -0.4102116525173187, -0.28788742423057556, 0.02189788781106472, -0.21008476614952087, 0.07863030582666397, 0.08616344630718231, -0.21214286983013153, 0.020999984815716743, 0.11133464425802231, 0.13969001173973083, -0.013586446642875671, 0.17507381737232208, 0.07946088910102844, 0.014264239929616451, 0.42152658104896545, 0.5354587435722351, 0.10099495947360992, -0.05797205865383148, 0.2462521642446518, -0.068154476583004, 0.22082339227199554, 0.27065348625183105, -0.054384540766477585, 0.13465416431427002, 0.046160608530044556, -0.15798261761665344, 0.08269181847572327, -0.0008420856902375817, -0.12310466170310974, -0.2452744096517563, 0.031771205365657806, -0.12366821616888046, 0.23306329548358917, -0.21430642902851105, 0.01562642678618431, 0.19016729295253754, 0.024446994066238403, 0.1213923841714859, 0.025766948238015175, 0.05356001481413841, 0.2526516318321228, 0.3180389404296875, -0.08974269777536392, 0.602147102355957, 0.050406597554683685, 0.09719599038362503, -0.20454086363315582, -0.16203436255455017, 0.21940401196479797]
615;food;http://www.wikidata.org/entity/Q309100;[-0.1065315380692482, 0.30056530237197876, 0.14956475794315338, 0.18223576247692108, 0.05343012139201164, -0.43378499150276184, -0.054896824061870575, 0.6556523442268372, -0.20922797918319702, -0.32714536786079407, -0.02524441108107567, -0.351687490940094, -0.2820799946784973, 0.14732487499713898, 0.1798679083585739, -0.037286147475242615, 0.1285032033920288, 0.277847021818161, -0.3561725318431854, -0.41800230741500854, 0.32441720366477966, -0.006705608684569597, 0.34430721402168274, -0.23750858008861542, 0.030664829537272453, 0.20861253142356873, -0.2729909420013428, 0.13959361612796783, -0.10031339526176453, -0.0509139820933342, 0.3630269169807434, -0.23463481664657593, 0.02465071529150009, -0.6174052953720093, -0.10056426376104355, 0.09439026564359665, 0.2828321158885956, -0.08873685449361801, -0.19173197448253632, 0.026940222829580307, 0.0839187428355217, -0.07993572950363159, -0.40573447942733765, -0.05433759093284607, 0.02063124068081379, -0.16948895156383514, -0.2883914113044739, -0.20836345851421356, 0.09025932103395462, 0.3166333734989166, -0.15125975012779236, -0.4089888632297516, -0.32369884848594666, -0.017491385340690613, -0.17915724217891693, 0.13013406097888947, 0.19365988671779633, -0.15674443542957306, 0.029655391350388527, 0.21578286588191986, 0.1042318046092987, -0.04528854042291641, 0.07349707931280136, 0.04161857068538666, -0.0005578689160756767, 0.4854360520839691, 0.4402889609336853, 0.04541030898690224, 0.05121152848005295, 0.33107349276542664, -0.07200442999601364, 0.2821429967880249, 0.29431286454200745, -0.1292499601840973, 0.1277933120727539, 0.05843673273921013, 0.004001028835773468, -0.013957393355667591, 0.03183971717953682, -0.11906659603118896, -0.29598304629325867, -0.04918282479047775, -0.1689196527004242, 0.20977459847927094, -0.25561895966529846, 0.036185722798109055, 0.07822997123003006, -0.08711131662130356, 0.18427422642707825, 0.07979532331228256, 0.08304744958877563, 0.33277827501296997, 0.22541502118110657, -0.08713994920253754, 0.516423225402832, 0.060267869383096695, 0.11222421377897263, -0.13089506328105927, -0.10816614329814911, 0.26909804344177246]
616;liberty;http://www.wikidata.org/entity/Q114380;[-0.09914576262235641, 0.3005736470222473, 0.18701598048210144, 0.17439071834087372, 0.022033531218767166, -0.45815420150756836, -0.12390110641717911, 0.5861406922340393, -0.18978610634803772, -0.34018775820732117, -0.008593693375587463, -0.3910404145717621, -0.2698891758918762, 0.1350640058517456, 0.2157319188117981, -0.03396172821521759, 0.1397087275981903, 0.23469781875610352, -0.3288787305355072, -0.40316224098205566, 0.3130623996257782, 0.039772920310497284, 0.3025102913379669, -0.29629015922546387, 0.08877319097518921, 0.22469572722911835, -0.3065989315509796, 0.1360369622707367, -0.10087379813194275, -0.044256970286369324, 0.2867574393749237, -0.20020583271980286, -0.015866823494434357, -0.5956097841262817, -0.10584008693695068, 0.044224996119737625, 0.2752196490764618, -0.022469354793429375, -0.1529197245836258, 0.06956357508897781, 0.05764066055417061, -0.07746518403291702, -0.3967652916908264, -0.0002851835160981864, -0.01674678549170494, -0.14637815952301025, -0.2718622386455536, -0.1396508365869522, 0.09245097637176514, 0.35845163464546204, -0.21347546577453613, -0.3595397472381592, -0.3249209225177765, 0.019696388393640518, -0.1071184054017067, 0.18886300921440125, 0.20839321613311768, -0.12057625502347946, 0.049269527196884155, 0.287641704082489, 0.1389395296573639, -0.014691425487399101, -0.008655566722154617, 0.11777616292238235, 0.025789208710193634, 0.4757120907306671, 0.40807971358299255, 0.03823061287403107, 0.05569065734744072, 0.37009912729263306, -0.025429703295230865, 0.23765967786312103, 0.3149956464767456, -0.20676004886627197, 0.10704600811004639, 0.09869004040956497, -0.006549172103404999, -0.018902577459812164, 0.015445803292095661, -0.1495685577392578, -0.28512030839920044, -0.0038232007063925266, -0.19148589670658112, 0.20739614963531494, -0.2627733051776886, 0.0880546048283577, -0.012469223700463772, -0.05031011626124382, 0.24817563593387604, 0.07273281365633011, 0.11581804603338242, 0.3198625147342682, 0.17695248126983643, -0.052540458738803864, 0.4832487106323242, 0.1063695177435875, 0.023998761549592018, -0.08163858950138092, -0.11204727739095688, 0.25071418285369873]
