;Unique_Entitites
1163;5113
1164;22909499
1165;702269
1166;186117
1167;35224
1168;1229911
1169;11009
1170;5270210
1171;1838
1172;551800
1173;28925020
1174;80038
1175;3322073
1176;19612643
1177;1709783
1178;28389
1179;5983345
1180;804988
1181;5281167
1182;656720
1183;906118
1184;21043360
1185;273536
1186;37013
1187;56291679
1188;5216129
1189;1111
1190;21515203
1191;3052189
1192;17126187
1193;23461886
1194;87167
1195;11366
1196;8024238
1197;9957
1198;2449779
1199;1527480
1200;193078
1201;50359276
1202;430682
1203;194061
1204;285120
1205;287072
1206;1156854
1207;6693756
1208;167934
1209;23045455
1210;11030
1211;7315941
1212;2249676
1213;3329375
1214;5738416
1215;8461
1216;26972
1217;16275693
1218;2144359
1219;225
1220;83030
1221;1070684
1222;388619
1223;5906358
1224;2329
1225;165328
1226;8
1227;11169
1228;43013
